names,date_x,score,genre,overview,orig_title,status,orig_lang,budget_x,revenue,country
Turning Red,03/11/2022 ,75.0,"Animation, Family, Comedy, Fantasy","Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",Turning Red, Released, English,175000000.0,10964971.0,AU
Encanto,11/28/2021 ,76.0,"Animation, Comedy, Family, Fantasy","The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family - every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",Encanto, Released, English,150000000.0,231120602.0,AU
Prancer: A Christmas Tale,11/22/2022 ,59.0,"Family, Fantasy","Ten-year-old Gloria and her recently widowed grandfather Bud befriend a mysterious reindeer when the family gather for Christmas. Bud comes to believe that Prancer may actually be magical, but Gloria fears his theory will send him straight to a retirement home.",Prancer: A Christmas Tale, Released, English,86800000.0,284184080.0,US
Magic Mike's Last Dance,02/09/2023 ,72.0,"Comedy, Drama, Romance","Mike Lane takes to the stage again after a lengthy hiatus, following a business deal that went bust, leaving him broke and taking bartender gigs in Florida. For what he hopes will be one last hurrah, Mike heads to London with a wealthy socialite who lures him with an offer he can’t refuse… and an agenda all her own. With everything on the line, once Mike discovers what she truly has in mind, will he - and the roster of hot new dancers he’ll have to whip into shape - be able to pull it off?",Magic Mike's Last Dance, Released, English,45000000.0,52000000.0,AU
"Lyle, Lyle, Crocodile",12/26/2022 ,75.0,"Comedy, Family, Music","When the Primm family moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle  -  a singing crocodile who loves baths, caviar and great music  -  living in the attic of his new home. But when Lyle’s existence is threatened by evil neighbor Mr. Grumps, the Primms must band together to show the world that family can come from the most unexpected places.","Lyle, Lyle, Crocodile", Released, English,50000000.0,107644101.0,AU
The Penitent Thief,02/25/2021 ,62.0,Drama,"The story of the two unnamed men who were crucified alongside Jesus and how they came to be beside him on the cross that fateful day. Dismas and his brother Jotham, along with Gestas, another young man who will share their fate, suffer tragedy and injustice at the hands of a band of thieves and a ruthless Roman centurion. Theirs is a story of survival against the odds, but they cannot outrun their destiny.",The Penitent Thief, Released, English,15160689.0,23800.0,AU
Hacksaw Ridge,10/07/2016 ,82.0,"Drama, History, War","WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",Hacksaw Ridge, Released, English,40000000.0,169023926.0,AU
Venus,12/02/2022 ,55.0,"Drama, Horror, Thriller","Lucía, a club dancer on the run, takes refuge in a sinister building on the outskirts of Madrid where her sister Rocío lives with her daughter Alba.",Venus, Released,Spanish,6000000.0,7818479.0,ES
The Offering,09/23/2022 ,57.0,Horror,"In the wake of a young Jewish girl’s disappearance, the son of a Hasidic funeral director returns home with his pregnant wife in hopes of reconciling with his father. Little do they know that directly beneath them in the family morgue, an ancient evil with sinister plans for the unborn child lurks inside a mysterious corpse.",The Offering, Released, English,103600000.0,134150172.6,US
Jujutsu Kaisen 0,03/17/2022 ,82.0,"Animation, Action, Fantasy","Yuta Okkotsu is a nervous high school student who is suffering from a serious problem - his childhood friend Rika has turned into a curse and won't leave him alone. Since Rika is no ordinary curse, his plight is noticed by Satoru Gojo, a teacher at Jujutsu High, a school where fledgling exorcists learn how to combat curses. Gojo convinces Yuta to enroll, but can he learn enough in time to confront the curse that haunts him?", 劇場版 呪術廻戦 0, Released, Japanese,21835777.0,195870885.0,AU
The Batman,03/02/2022 ,77.0,"Crime, Mystery, Thriller","In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",The Batman, Released, English,200000000.0,766326717.0,AU
Life in a Year,11/27/2020 ,83.0,"Drama, Romance","A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",Life in a Year, Released, English,90000000.0,627851111.8,US
Super Mario Brothers: Great Mission to Rescue Princess Peach,07/20/1986 ,60.0,"Animation, Comedy, Fantasy","When Princess Peach is kidnapped by the monster King Koopa, Mario and his brother Luigi journey to the Mushroom Kingdom to rescue her.", スーパーマリオブラザーズ ピーチ姫救出大作戦!, Released, Japanese,151600000.0,675230189.0,JP
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12/26/2005 ,71.0,"Adventure, Family, Fantasy","Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe", Released, English,180000000.0,745013115.0,AU
The Exorcism of God,07/01/2022 ,72.0,Horror,"An American priest working in Mexico is considered a saint by many local parishioners. However, due to a botched exorcism, he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time.",The Exorcism of God, Released, English,1500000.0,123516163.2,AU
Ghosts of the Ozarks,02/04/2022 ,63.0,"Western, Horror, Mystery","In 1866, a young doctor is summoned by his uncle to a remote town in the Ozarks only to discover upon his arrival that the utopian paradise is not all that it seems to be.",Ghosts of the Ozarks, Released, English,113000000.0,548624602.6,US
Kompromat,12/01/2022 ,65.0,"Thriller, Drama","Mathieu, a member of the French institute in Irkutsk, is arrested overnight by the Russian authorities.  Imprisoned and accused of sexual abuse on his own daughter, he realises he is a victim of a Kompromat. With the help of the FSB, someone has built up a case to frame him. Isolated, he has no one to turn to. Proving his innocence is impossible: the only solution is to escape.",Kompromat, Released, French,155140000.0,302915354.0,AU
Matadero,12/09/2022 ,60.0,Drama,"An American filmmaker arrives in the Argentinian pampa to film Matadero: a founding narrative of class struggle where a group of laborers slaughter their bosses like cattle. It is 1974, the violent persecution of the left has just begun in Argentina, and the young actors in the film are on the verge of taking a leap into full time clandestine militancy.",Matadero, Released,Spanish,73800000.0,346352260.6,ES
Air,04/05/2023 ,79.0,Drama,Discover the game-changing partnership between a then undiscovered Michael Jordan and Nike's fledgling basketball division which revolutionized the world of sports and culture with the Air Jordan brand.,Air, Released, English,28519270.6,5000000.0,AU
Disenchanted,11/18/2022 ,70.0,"Comedy, Family, Fantasy","Disillusioned with life in the city, feeling out of place in suburbia, and frustrated that her happily ever after hasn’t been so easy to find, Giselle turns to the magic of Andalasia for help. Accidentally transforming the entire town into a real-life fairy tale and placing her family’s future happiness in jeopardy, she must race against time to reverse the spell and determine what happily ever after truly means to her and her family.",Disenchanted, Released, English,142600000.0,524597714.8,AU
Luck,08/05/2022 ,79.0,"Animation, Adventure, Comedy, Fantasy","Suddenly finding herself in the never-before-seen Land of Luck, the unluckiest person in the world must unite with the magical creatures there to turn her luck around.",Luck, Released, English,147000000.0,721203091.4,AU
Bullet Train,08/04/2022 ,75.0,"Action, Comedy, Thriller","Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe - all with connected, yet conflicting, objectives - on the world's fastest train.",Bullet Train, Released, English,85900000.0,238534963.0,AU
Night at the Museum: Kahmunrah Rises Again,12/09/2022 ,69.0,"Animation, Comedy, Family, Fantasy","Nick Daley is following in his father's footsteps as night watchman at the American Museum of Natural History, so he knows what happens when the sun goes down. But when the maniacal ruler Kahmunrah escapes, it is up to Nick to save the museum once and for all.",Night at the Museum: Kahmunrah Rises Again, Released, English,124400000.0,508761361.2,US
Blade of the 47 Ronin,10/25/2022 ,67.0,"Action, Drama, Fantasy, Thriller","In this sequel to ""47 Ronin,"" a new class of warriors emerges among the Samurai clans to keep a sought-after sword from falling into the wrong hands.",Blade of the 47 Ronin, Released, English,131000000.0,431341845.4,AU
Sing 2,12/26/2021 ,80.0,"Animation, Family","Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",Sing 2, Released, English,85000000.0,404655351.0,AU
Shark Bait,06/06/2022 ,59.0,"Horror, Thriller, Action, Adventure","A group of friends enjoying a weekend steal a couple of jetskis racing them out to sea, ending up in a horrific head-on collision. They struggle to find a way home with a badly injured friend while from the waters below predators lurk.",Shark Bait, Released, English,106000000.0,591557010.2,GB
Shrek,06/21/2001 ,77.0,"Animation, Comedy, Fantasy, Adventure, Family","It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",Shrek, Released, English,50000000.0,491812794.0,AU
Orgasm Inc: The Story of OneTaste,11/05/2022 ,64.0,Documentary,"A sexual wellness company gains fame and followers, then members come forward with shocking allegations.",Orgasm Inc: The Story of OneTaste, Released, English,77400000.0,431611098.0,US
In His Shadow,03/17/2023 ,62.0,"Drama, Thriller, Crime","After the death of their father, two half-brothers find themselves on opposite sides of an escalating conflict with tragic consequences.", Le Roi des Ombres, Released, French,133000000.0,407446362.4,FR
Savage Salvation,12/02/2022 ,66.0,Thriller,"Newly engaged Shelby John and Ruby Red want a fresh start after their struggles with addiction, but when Shelby discovers his beloved Ruby dead on their porch, he embarks on a vengeful killing spree of the dealers who supplied her. Armed with nothing but adrenaline and a nail gun, Shelby begins to unleash chaos on the town’s criminal underbelly, as he hunt’s down crime lord Coyote. Sheriff Church must race against the clock to put an end to Shelby's vigilante justice before the entire town descends into a bloodbath.",Savage Salvation, Released, English,85645.0,244880855.2,US
Sisu,01/27/2023 ,74.0,"War, Action","Deep in the wilderness of Lapland, Aatami Korpi is searching for gold. From time to time, the overflight of bombers and the distant sounds of war can be heard in the autumn night. Finally, the hard work is rewarded and the gold dust in the pan grows into gold chunks, and Aatami sets out to take his gold treasure to the nearest city. After he stumbles upon Nazi patrol led by SS Obersturmführer Bruno Helldorf, a breathtaking and gold-hungry chase through the destroyed and mined Lapland wilderness begins.",Sisu, Released, Finnish,6200000.0,58748957.6,FI
"Tango, Tequila and Some Lies",03/09/2023 ,77.0,"Comedy, Romance","Lu has a perfect life. Or so she pretends to have. She meets the handsome, short-tempered Argentinian, Diego, who is on a visit to Mexico, and she is confident to get him head over heels in love with her. In order to win a wager with her friends, her life will take a turn when she does the impossible to win him over, including taking a trip to Argentina to look for him."," Tangos, tequilas, y algunas mentiras", Released,Spanish,105800000.0,667037174.8,MX
Hotel Transylvania: Transformania,01/14/2022 ,71.0,"Animation, Comedy, Family, Fantasy, Adventure","When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy.",Hotel Transylvania: Transformania, Released, English,116000000.0,557205138.2,AU
Operation Fortune: Ruse de Guerre,01/12/2023 ,67.0,"Action, Thriller, Comedy",Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,Operation Fortune: Ruse de Guerre, Released, English,50000000.0,35800000.0,AU
Kids vs. Aliens,01/20/2023 ,60.0,"Science Fiction, Horror, Adventure, Action","All Gary wants is to make awesome home movies with his best buds. All his older sister Samantha wants is to hang with the cool kids. When their parents head out of town one Halloween weekend, an all-time rager of a teen house party turns to terror when aliens attack, forcing the siblings to band together to survive the night.",Kids vs. Aliens, Released, English,143200000.0,514828593.6,US
Everything Everywhere All at Once,04/14/2022 ,79.0,"Action, Adventure, Science Fiction","An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",Everything Everywhere All at Once, Released, English,25000000.0,114900000.0,AU
Glass Onion: A Knives Out Mystery,11/23/2022 ,71.0,"Comedy, Crime, Mystery",World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.,Glass Onion: A Knives Out Mystery, Released, English,40000000.0,13280000.0,AU
Suro,12/02/2022 ,73.0,"Thriller, Drama","Elena and Ivan are getting ready to enter into a new phase in their life. They are leaving the metropolis of Barcelona to settle in the Catalan countryside, where they are taking over a cork oak plantation. Not only will the business pay for their living, but they also want to exploit the plantation equitably and sustainably. But despite their ideals, Elena and Ivan soon find themselves in a crisis which will endanger not only their project, but also their relationship.",Suro, Released,Spanish,80000000.0,522029092.4,ES
The Lair,08/25/2022 ,59.0,"Horror, Action","Royal Air Force pilot Lt. Kate Sinclair is on her final flight mission when her jet is shot down over one of the most dangerous rebel strongholds in Afghanistan. She finds refuge in an abandoned underground bunker where deadly man-made creatures known as Ravagers  -  half-human, half-alien, and hungry for human flesh  -  are awakened.",The Lair, Released, English,118200000.0,307351568.6,GB
My Hero Academia: World Heroes' Mission,10/28/2021 ,76.0,"Animation, Action, Adventure, Science Fiction","A mysterious group called Humarize strongly believes in the Quirk Singularity Doomsday theory which states that when quirks get mixed further in with future generations, that power will bring forth the end of humanity. In order to save everyone, the Pro-Heroes around the world ask UA Academy heroes-in-training to assist them and form a world-class selected hero team. It’s up to the heroes to save the world and the future of heroes in what is the most dangerous crisis to take place yet in My Hero Academia.", 僕のヒーローアカデミア THE MOVIE ワールド ヒーローズ ミッション, Released, Japanese,27164600.0,38410729.0,AU
Unhappily Ever After,01/26/2023 ,81.0,"Comedy, Romance","María José and Alfredo are about to celebrate their 20th anniversary and their children give them a trip to the hotel where they celebrated their honeymoon, but a spell will make them repeat the same day.", Infelices para Siempre, Released,Spanish,149000000.0,1109873157.4,MX
Evil Eye,09/22/2022 ,68.0,Horror,"Nala, a thirteen-year-old girl from the city, travels with her family to her grandmother's home in the countryside, to try to find a cure for her little sister's mysterious illness - But she'll soon find her granny is not exactly what she seems...", Mal de ojo, Released,Spanish,1704500.0,223147806.6,MX
Inspector Sun and the Curse of the Black Widow,12/28/2022 ,68.0,"Animation, Family","Shanghai, 1934. In an insect world parallel to that of humans, veteran Inspector Sun, a lone spider, leads his last mission against his archenemy the Red Locust, before embarking on a well-deserved retirement. His vacation aboard a Pan Am clipper between Shanghai and San Francisco comes to an abrupt end when millionaire Dr. Spindelthorp is found murdered. What begins as a routine case for Sun will ultimately decide the fate of humanity.", Inspector Sun y la maldición de la viuda negra, Released,Spanish,98140000.0,494358731.6,ES
The Price We Pay,01/13/2023 ,60.0,"Action, Thriller, Mystery, Crime, Horror","After a pawn shop robbery goes askew, two criminals take refuge at a remote farmhouse to try to let the heat die down, but find something much more menacing.",The Price We Pay, Released, English,126800000.0,985255868.8,US
Lupin The 3rd vs. Cat’s Eye,01/27/2023 ,60.0,"Animation, Action, Adventure, Comedy","Lupin III competes with the Kisugi sisters to steal a triptych of paintings that once belonged to their father, and which hold the key to a long-unsolved mystery.", ルパン三世VSキャッツ・アイ, Released, Japanese,89600000.0,367393887.6,AU
Murder Mystery,05/25/2019 ,63.0,"Comedy, Mystery","On a long-awaited trip to Europe, a New York City cop and his hairdresser wife scramble to solve a baffling murder aboard a billionaire's yacht.",Murder Mystery, Released, English,24000000.0,205809600.8,AU
Luz Mala,11/17/2022 ,43.0,Horror,A winter night. An isolated house in a small town. Two warring sides must join forces to survive an evil tied to one of the field's oldest legends.,Luz Mala, Released,Spanish,87600000.0,817860943.8,AR
Babylon,01/19/2023 ,75.0,"Drama, Comedy","A tale of outsized ambition and outrageous excess, tracing the rise and fall of multiple characters in an era of unbridled decadence and depravity during Hollywood's transition from silent films and to sound films in the late 1920s.",Babylon, Released, English,110000000.0,63262638.0,AU
The Lost City,03/30/2022 ,66.0,"Action, Adventure, Comedy","Reclusive author Loretta Sage writes about exotic places in her popular adventure novels that feature a handsome cover model named Alan. While on tour promoting her new book with Alan, Loretta gets kidnapped by an eccentric billionaire who hopes she can lead him to the ancient city's lost treasure that featured in her latest story. Alan, determined to prove he can be a hero in real life and not just on the pages of her books, sets off to rescue her.",The Lost City, Released, English,74000000.0,182921990.0,AU
The Lost City,03/30/2022 ,66.0,"Action, Adventure, Comedy","Reclusive author Loretta Sage writes about exotic places in her popular adventure novels that feature a handsome cover model named Alan. While on tour promoting her new book with Alan, Loretta gets kidnapped by an eccentric billionaire who hopes she can lead him to the ancient city's lost treasure that featured in her latest story. Alan, determined to prove he can be a hero in real life and not just on the pages of her books, sets off to rescue her.",The Lost City, Released, English,9600000.0,5256839.0,AU
Detective Knight: Rogue,10/21/2022 ,67.0,"Action, Crime, Thriller","As Los Angeles prepares for Halloween, mask-wearing armed robbers critically wound detective James Knight’s partner in a shootout following a heist. With Knight in hot pursuit, the bandits flee L.A. for New York, where the detective’s dark past collides with his present case and threatens to tear his world apart…unless redemption can claim Knight first.",Detective Knight: Rogue, Released, English,50000000.0,725034225.6,US
Cop Secret,10/20/2021 ,61.0,"Comedy, Action, Thriller","When Bússi, Iceland's toughest cop, is forced to work with a new partner to solve a series of bank robberies, the pressure to close the case as soon as possible proves too much for him.", Leynilögga, Released, Icelandic,58100000.0,651717830.0,IS
The Quintessential Quintuplets Movie,12/01/2022 ,84.0,"Animation, Comedy, Romance","When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?", 映画 五等分の花嫁, Released, Japanese,2937023.8,17288993.0,AU
Harry Potter and the Chamber of Secrets,11/28/2002 ,77.0,"Adventure, Fantasy","Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",Harry Potter and the Chamber of Secrets, Released, English,100000000.0,874954530.0,AU
Kill Boksoon,03/31/2023 ,69.0,"Action, Thriller, Crime","At work, she's a renowned assassin. At home, she's a single mom to a teenage daughter. Killing? That's easy. It's parenting that's the hard part.", 길복순, Released, Korean,119100000.0,763309047.0,KR
Candy Land,01/06/2023 ,65.0,"Horror, Thriller","Remy, a seemingly naive and devout young woman, finds herself cast out from her religious cult. With no place to turn, she immerses herself into the underground world of truck stop sex workers. Under the watchful eye of their matriarch and an enigmatic local lawman, Remy navigates between her strained belief system and the code to find her true calling in life.",Candy Land, Released, English,54060000.0,492646395.4,US
Venom: Let There Be Carnage,11/25/2021 ,69.0,"Science Fiction, Action, Adventure","After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",Venom: Let There Be Carnage, Released, English,110000000.0,506863592.0,AU
Harry Potter and the Philosopher's Stone,11/29/2001 ,79.0,"Adventure, Fantasy","Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard - with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths - and about the villain who's to blame.",Harry Potter and the Philosopher's Stone, Released, English,125000000.0,976475550.0,AU
On the Count of Three,09/29/2022 ,66.0,"Comedy, Drama","Val has reached a place where he feels the only way out is to end things. But he considers himself a bit of a failure - his effectiveness lacking - so he figures he could use some help. As luck would have it, Val’s best friend, Kevin, is recovering from a failed suicide attempt, so he seems like the perfect partner for executing this double suicide plan. But before they go, they have some unfinished business to attend to.",On the Count of Three, Released, English,101600000.0,354385756.2,AU
Uncharted,02/17/2022 ,70.0,"Action, Adventure","A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",Uncharted, Released, English,120000000.0,400689914.0,AU
DC League of Super-Pets,09/03/2022 ,74.0,"Animation, Action, Family, Comedy, Science Fiction","When Superman and the rest of the Justice League are kidnapped, Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes.",DC League of Super-Pets, Released, English,90000000.0,203000000.0,AU
Moonfall,02/03/2022 ,64.0,Science Fiction,A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.,Moonfall, Released, English,150000000.0,59053195.0,AU
Athena,09/23/2022 ,67.0,Drama,"Hours after the tragic death of their youngest brother in unexplained circumstances, three siblings have their lives thrown into chaos.",Athena, Released, French,75500000.0,509726081.0,FR
Unicorn Wars,10/21/2022 ,64.0,"Action, Animation, Comedy, Fantasy, Horror, War","An army of bear cubs train and indoctrinate young recruits for the war against the unicorns, which threatens the safety of the cubs. Brothers Bluet and Tubby, along with a group of inexperienced cadets, are sent on a dangerous mission to save the Magic Forest, where the unicorns live, and start a terrible battle.",Unicorn Wars, Released,Spanish,50610000.0,27833.0,ES
Teen Wolf: The Movie,01/27/2023 ,78.0,"Action, Fantasy, TV Movie","The wolves are howling once again, as a terrifying ancient evil emerges in Beacon Hills. Scott McCall, no longer a teenager yet still an Alpha, must gather new allies and reunite trusted friends to fight back against this powerful and deadly enemy.",Teen Wolf: The Movie, Released, English,150400000.0,327346026.2,AU
Fantastic Beasts: The Secrets of Dumbledore,04/07/2022 ,68.0,"Fantasy, Adventure, Family","Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers.",Fantastic Beasts: The Secrets of Dumbledore, Released, English,200000000.0,404560145.0,AU
Cars 3,06/22/2017 ,69.0,"Animation, Adventure, Comedy, Family","Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing’s biggest stage!",Cars 3, Released, English,175000000.0,383541369.0,AU
The Ledge,02/18/2022 ,66.0,"Thriller, Adventure","A rock climbing adventure between two friends turns into a terrifying nightmare. After Kelly captures the murder of her best friend on camera, she becomes the next target of a tight knit group of friends who will stop at nothing to destroy the evidence and anyone in their way.",The Ledge, Released, English,2500000.0,249984799.4,US
The Big 4,12/15/2022 ,71.0,"Action, Comedy, Crime",A by-the-book female detective teams up with four down-on-their-luck assassins to investigate her father's murder., 4 Besar, Released, Indonesian,98840000.0,339023160.4,ID
Interstellar,11/06/2014 ,84.0,"Adventure, Drama, Science Fiction",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Interstellar, Released, English,165000000.0,648082655.0,AU
Viking Wolf,02/03/2023 ,59.0,"Horror, Thriller, Mystery","After witnessing a grotesque murder at a party in her new town, a teenager starts having strange visions and bizarre desires.", Vikingulven, Released, Norwegian,139000000.0,405888913.2,AU
20th Century Girl,10/06/2022 ,83.0,"Romance, Drama","Yeon-du asks her best friend Bora to collect all the information she can about Baek Hyun-jin while she is away in the U.S. for heart surgery. Bora decides to get close to Baek's best friend, Pung Woon-ho first. However, Bora's clumsy plan unfolds in an unexpected direction. In 1999, a year before the new century, Bora, who turns seventeen, falls into the fever of first love.", 20세기 소녀, Released, Korean,119.0,77132590.4,KR
The Soccer Football Movie,11/09/2022 ,61.0,"Animation, Comedy, Family","When mysterious green slime monsters start popping out of soccer balls, all-star athletes Zlatan Ibrahimović and Megan Rapinoe must team up with their four biggest fans to stop evil scientist ""Weird Al"" Yankovic from stealing their talent.",The Soccer Football Movie, Released, English,79000000.0,798590398.8,US
Boston Strangler,03/17/2023 ,67.0,"Thriller, Drama, Crime","Reporters Loretta McLaughlin and Jean Cole bravely pursue the story of the Boston Strangler at great personal risk, putting their own lives on the line in their quest to uncover the truth.",Boston Strangler, Released, English,117000000.0,521124690.4,AU
Close,02/16/2023 ,78.0,Drama,"Two thirteen year-olds have always been incredibly close but they drift apart after the intimacy of their relationship is questioned by schoolmates.  An emotionally transformative and unforgettable portrait of the intersection of friendship and love, identity and independence, and heartbreak and healing.",Close, Released, French,26523270.6,3129968.0,AU
Coraline,08/06/2009 ,78.0,"Animation, Family, Fantasy","A young girl discovers an idealized parallel universe behind a secret door in her new home, unaware that it contains a sinister secret.",Coraline, Released, English,60000000.0,126037057.0,AU
Luther: The Fallen Sun,03/23/2023 ,69.0,"Thriller, Crime, Action, Mystery","A gruesome serial killer is terrorizing London while brilliant but disgraced detective John Luther sits behind bars. Haunted by his failure to capture the cyber psychopath who now taunts him, Luther decides to break out of prison to finish the job by any means necessary.",Luther: The Fallen Sun, Released, English,111400000.0,513441742.2,AU
Harry Potter and the Goblet of Fire,12/01/2005 ,78.0,"Adventure, Fantasy, Family","When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools - the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",Harry Potter and the Goblet of Fire, Released, English,150000000.0,886742787.0,AU
Piggy,10/14/2022 ,66.0,"Thriller, Drama, Horror",A bullied overweight teenager sees a glimpse of hope when her tormentors are brutally abducted by a mesmerizing stranger., Cerdita, Released,Spanish,2400000.0,380512.0,ES
Orphan: First Kill,09/01/2022 ,68.0,"Horror, Thriller","After escaping from an Estonian psychiatric facility, Leena Klammer travels to America by impersonating Esther, the missing daughter of a wealthy family. But when her mask starts to slip, she is put against a mother who will protect her family from the murderous “child” at any cost.",Orphan: First Kill, Released, English,51489867.0,9572765.0,AU
Fullmetal Alchemist: The Final Alchemy,06/24/2022 ,63.0,"Action, Adventure, Fantasy","The Elric brothers’ long and winding journey comes to a close in this epic finale, where they must face off against an unworldly, nationwide threat.", 鋼の錬金術師 完結編 最後の錬成, Released, Japanese,133200000.0,514445172.4,JP
Malcriados,02/15/2023 ,78.0,Comedy,We don't have an overview translated in English. Help us expand our database by adding one.,Malcriados, Released,Spanish,116600000.0,586907459.0,MX
Polar,10/26/2022 ,66.0,"Action, Adventure, Thriller","MG, a policewoman who has been expelled from the Corps due to the problems with alcohol and drugs that she has had since the loss of her son, receives a call from a man asking her to look for Macarena Gómez, a popular TV actress.",Polar, Released,Spanish,118000000.0,325759805.4,ES
Jesus,10/19/1979 ,83.0,"Drama, History","Three and a half years of Jesus' ministry, as told in the Gospel of Luke.",Jesus, Released, English,179800000.0,600820848.4,US
Harry Potter and the Half-Blood Prince,07/15/2009 ,77.0,"Adventure, Fantasy","As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",Harry Potter and the Half-Blood Prince, Released, English,250000000.0,929411069.0,AU
Legend of the Galactic Heroes: Die Neue These - Intrigue 1,09/30/2022 ,61.0,Animation,"The story focuses on the exploits of rivals Reinhard von Lohengramm and Yang Wen-li, as they rise to power and fame in the Galactic Empire and the Free Planets Alliance, respectively.", 銀河英雄伝説 Die Neue These 策謀 1, Released, Japanese,138000000.0,337725907.8,JP
